     476                        ;468 currents for CBs and Iron-yoke     200 circuler filament currents for Iron-yoke
    1     .0700000000000     .7859355101041 -5.661080936805900E+03
    2     .0700000000000     .7578065303122 -2.183427907746610E+04      created by Mitsushi Abe    2018/10/25
    3     .0753224494796     .7350000000000 -5.067516025375191E+04         KEK-IPNS
   92    1.4500000000000     .2390963282306  3.052590670519348E+03
   93    1.4500000000000     .2109673484388  3.062838981900547E+03
   94    1.4500000000000     .1828383686469  3.185364037080869E+03
   95    1.4500000000000     .1547093888551  3.397829410574871E+03
   96    1.4500000000000     .1265804090633  3.667058996209483E+03
   97    1.4500000000000     .0984514292714  3.953075987048054E+03
   98    1.4500000000000     .0703224494796  4.214104294171931E+03
   99    1.4500000000000     .0421934696878  4.412371827569255E+03
  100    1.4500000000000     .0140644898959  4.519193511321382E+03
  101    1.4500000000000    -.0140644898959  4.519182828649134E+03
  102    1.4500000000000    -.0421934696878  4.412268829487962E+03
  103    1.4500000000000    -.0703224494796  4.213984902793459E+03
  104    1.4500000000000    -.0984514292714  3.952894960663971E+03
  105    1.4500000000000    -.1265804090633  3.666877983521734E+03
